gene_claim_name	gene_concept_id	gene_name	interaction_source_db_name	interaction_source_db_version	interaction_type	interaction_score	drug_claim_name	drug_concept_id	drug_name	approved	immunotherapy	anti_neoplastic
VDR	hgnc:12679	VDR	ChEMBL	32	agonist	0.125223044	ERGOCALCIFEROL	rxcui:4018	ERGOCALCIFEROL	TRUE	FALSE	FALSE
INSR	hgnc:6091	INSR	ChEMBL	32	agonist	0.85478339	INSULIN ZINC SUSP PURIFIED BEEF	chembl:CHEMBL1201546	INSULIN ZINC SUSP PURIFIED BEEF	TRUE	FALSE	FALSE
INSR	hgnc:6091	INSR	ChEMBL	32	agonist	1.70956678	INSULIN PORK	rxcui:221109	"INSULIN, REGULAR, PORK"	TRUE	FALSE	FALSE
INSR	hgnc:6091	INSR	ChEMBL	32	agonist	0.85478339	INSULIN SUSP ISOPHANE PURIFIED PORK	chembl:CHEMBL1201656	INSULIN SUSP ISOPHANE PURIFIED PORK	TRUE	FALSE	FALSE
CYP19A1	hgnc:2594	CYP19A1	ChEMBL	32	inhibitor	1.203674569	AMINOGLUTETHIMIDE	rxcui:677	AMINOGLUTETHIMIDE	TRUE	FALSE	TRUE
GHR	hgnc:4263	GHR	ChEMBL	32	agonist	1.685144397	SOMATROPIN	rxcui:314845	SOMATROPIN (RECOMBINANT DNA ORIGIN)	TRUE	FALSE	FALSE
HTR2A	hgnc:5293	HTR2A	ChEMBL	32	inhibitor	0.350376558	LURASIDONE HYDROCHLORIDE	rxcui:1040027	LURASIDONE HYDROCHLORIDE	TRUE	FALSE	FALSE
HTR2C	hgnc:5295	HTR2C	ChEMBL	32	inhibitor	0.185471868	LOXAPINE	rxcui:6475	LOXAPINE	TRUE	FALSE	FALSE
NR3C1	hgnc:7978	NR3C1	ChEMBL	32	agonist	0.230390836	MEDRYSONE	rxcui:29439	MEDRYSONE	TRUE	FALSE	FALSE
ACHE	hgnc:108	ACHE	ChEMBL	32	inhibitor	1.134231806	ECHOTHIOPHATE IODIDE	rxcui:3740	ECHOTHIOPHATE IODIDE	TRUE	FALSE	FALSE
HTR2C	hgnc:5295	HTR2C	ChEMBL	32	inhibitor	0.222566241	OLANZAPINE PAMOATE	rxcui:1294588	OLANZAPINE PAMOATE	TRUE	FALSE	FALSE
MURA	NULL	NULL	ChEMBL	32	inhibitor	NULL	FOSFOMYCIN TROMETHAMINE	rxcui:142135	FOSFOMYCIN TROMETHAMINE	TRUE	FALSE	FALSE
NR3C2	hgnc:7979	NR3C2	ChEMBL	32	agonist	2.808573995	FLUDROCORTISONE ACETATE	rxcui:165516	FLUDROCORTISONE ACETATE	TRUE	FALSE	FALSE
PTGIR	hgnc:9602	PTGIR	ChEMBL	32	agonist	4.212860993	EPOPROSTENOL SODIUM	rxcui:104463	EPOPROSTENOL SODIUM	TRUE	FALSE	FALSE
OPRM1	hgnc:8156	OPRM1	ChEMBL	32	agonist	0.225688982	HYDROMORPHONE HYDROCHLORIDE	rxcui:203177	HYDROMORPHONE HYDROCHLORIDE	TRUE	FALSE	FALSE
SLC6A3	hgnc:11049	SLC6A3	ChEMBL	32	inhibitor	0.214472923	BUPROPION HYDROBROMIDE	rxcui:203204	BUPROPION HYDROCHLORIDE	TRUE	FALSE	FALSE
HSP90AA1	hgnc:5253	HSP90AA1	CancerCommons	25-Jul-13	inhibitor	0.406758992	AT13387	ncit:C85454	ONALESPIB	FALSE	FALSE	TRUE
FLT1	hgnc:3763	FLT1	CancerCommons	25-Jul-13	inhibitor	0.819167415	AV951	rxcui:2534233	TIVOZANIB	TRUE	FALSE	TRUE
OPRM1	hgnc:8156	OPRM1	ChEMBL	32	agonist	0.143620261	BUPRENORPHINE	rxcui:1819	BUPRENORPHINE	TRUE	FALSE	FALSE
ACHE	hgnc:108	ACHE	ChEMBL	32	inhibitor	1.134231806	DONEPEZIL HYDROCHLORIDE	rxcui:236559	DONEPEZIL HYDROCHLORIDE	TRUE	FALSE	FALSE
KIT	hgnc:6342	KIT	CancerCommons	25-Jul-13	inhibitor	0.728148814	PLX3397	rxcui:2183102	PEXIDARTINIB	TRUE	FALSE	TRUE
M	NULL	NULL	ChEMBL	32	inhibitor	NULL	RIMANTADINE HYDROCHLORIDE	rxcui:82093	RIMANTADINE HYDROCHLORIDE	TRUE	FALSE	FALSE
DHFR	hgnc:2861	DHFR	ChEMBL	32	inhibitor	4.536927223	METHOTREXATE SODIUM	rxcui:287734	METHOTREXATE SODIUM	TRUE	FALSE	FALSE
POL	hgnc:39043	ERVW-4	ChEMBL	32	inhibitor	0.526607624	RILPIVIRINE HYDROCHLORIDE	rxcui:1102270	RILPIVIRINE	TRUE	FALSE	FALSE
NR1H4	hgnc:7967	NR1H4	ChEMBL	32	agonist	1.465342954	CHENODIOL	rxcui:2323	CHENODEOXYCHOLIC ACID	TRUE	FALSE	FALSE
ESR1	hgnc:3467	ESR1	ChEMBL	32	agonist	0.126634576	MESTRANOL	rxcui:6782	MESTRANOL	TRUE	FALSE	FALSE
SLC6A2	hgnc:11048	SLC6A2	ChEMBL	32	other/unknown	0.834623404	GUANADREL SULFATE	rxcui:91239	GUANADREL SULFATE	TRUE	FALSE	FALSE
SCN4A	hgnc:10591	SCN4A	ChEMBL	32	blocker	0.113423181	RANOLAZINE	rxcui:35829	RANOLAZINE	TRUE	FALSE	FALSE
SLC6A2	hgnc:11048	SLC6A2	ChEMBL	32	inhibitor	0.065460659	AMITRIPTYLINE HYDROCHLORIDE	rxcui:203168	AMITRIPTYLINE HYDROCHLORIDE	TRUE	FALSE	FALSE
SLC6A2	hgnc:11048	SLC6A2	ChEMBL	32	inhibitor	0.278207801	IMIPRAMINE PAMOATE	rxcui:91118	IMIPRAMINE PAMOATE	TRUE	FALSE	FALSE
PGA5	hgnc:8887	PGA5	ChEMBL	32	inhibitor	19.66001797	SUCRALFATE	rxcui:10156	SUCRALFATE	TRUE	FALSE	FALSE
SLC6A2	hgnc:11048	SLC6A2	ChEMBL	32	inhibitor	0.092735934	NORTRIPTYLINE HYDROCHLORIDE	rxcui:203130	NORTRIPTYLINE HYDROCHLORIDE	TRUE	FALSE	FALSE
